Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
Philadelphia Police Dept.-6th Police District,235 N. 11th Street,Philadelphia,PA,19107,Philadelphia,(215)686-3060,,"235 N. 11th Street
Philadelphia, PA 19107
(39.95663, -75.15724)",POINT (-75.157075 39.956668),39.956668,-75.157075,Capt. Brian Korn,Yes,Operational,Active
Nanty-Glo Borough Police Department,1015 First Street,Nanty-Glo,PA,15943,Cambria,,,"1015 First Street
Nanty-Glo, PA 15943
(40.47156, -78.83479)",POINT (-78.834838 40.47149),40.47149,-78.834838,,No,,Active
Towamencin Twp. Police Dept.,1090 Troxel Road,Kulpsville,PA,19443,Montgomery,(215)368-7606,,,POINT (-75.322243 40.243492),40.243492,-75.322243,Chief Tim Dickinson,Yes,,Active
CVS #5096,204 EAST SECOND STREET,OIL CITY,PA,16301,"VENANGO,PA",8146774007,Follows Pharmacy Hours of Operation,"204 EAST SECOND STREET
OIL CITY, PA 16301
(41.42796, -79.70746)",POINT (-79.707252 41.428232),41.428232,-79.707252,,No,Pharmacy,Active
CareSite Pharmacy Mount Pocono,126 Market Way,Mt. Pocono,PA,18344,Monroe,570-895-5055,Monday - Thursday: 9 a.m. - 6 p.m. / Friday: 9 a.m.  5 p.m. / Saturday: 9 a.m. - noon,"126 Market Way
Mt. Pocono, PA 18344
(41.126856, -75.376154)",POINT (-75.3741 41.126564),41.126564,-75.3741,,No,Pharmacy,Active
HUP-VALLEY FORGE PHARMACY,1001 CHESTERBROOK BLVD (1ST FLOOR),BERWYN,PA,19312,Chester,,,"1001 CHESTERBROOK BLVD (1ST FLOOR)
BERWYN, PA 19312
(40.06428, -75.46421)",POINT (-75.463863 40.064241),40.064241,-75.463863,,No,Pharmacy,Active
WELLSPAN PHARMACY (LEBANON),252 S 4TH ST,LEBANON,PA,17042,Lebanon,,,"252 S 4TH ST
LEBANON, PA 17042
(40.33582, -76.41669)",POINT (-76.416175 40.33597),40.33597,-76.416175,,No,Pharmacy,Active
Uniontown Police Dept.,45 East Penn Street,Uniontown,PA,15401,Fayette,(724)430-2929,,"45 East Penn Street
Uniontown, PA 15401
(39.90237, -79.72329)",POINT (-79.723284 39.902521),39.902521,-79.723284,Chief Jason A. Cox,Yes,,Active
Pocono Township Police Department,110 Township Drive,Tannersville,PA,18372,Monroe,,Twice a year during DEA National Drug Take-back Days,"110 Township Drive
Tannersville, PA 18372
(41.03716, -75.3052)",POINT (-75.305729 41.03981),41.03981,-75.305729,,No,Operational,Active
State Police-Troop G / Bedford,171 Arthur L Hershey Dr.,Bedford,PA,15522,Bedford,,,"171 Arthur L Hershey Dr.
Bedford, PA 15522
(40.0778, -78.52231)",POINT (-78.522884 40.077429),40.077429,-78.522884,,No,,Active
Walnutport Borough Police Dept.,417 S. Lincoln Avenue,Walnutport,PA,18088,Northampton,(610)767-1134,,"417 S. Lincoln Avenue
Walnutport, PA 18088
(40.7524, -75.59425)",POINT (-75.594231 40.752507),40.752507,-75.594231,Chief Peter Wayda,Yes,Operational,Active
North Huntington Township Police Department,11279 Center Highway,Irwin,PA,15642,Westmoreland,(724)863-8800,24 hours/7 days a week,"11279 Center Highway
Irwin, PA 15642
(40.33009, -79.73098)",POINT (-79.730003 40.330216),40.330216,-79.730003,,No,Operational,Active
Geisinger Medical Center/Bush Pavilion/Knapper Clinic,100 N. Academy Avenue,Danville,PA,17821,Montour,570-271-6691,24/7,"100 N. Academy Avenue
Danville, PA 17821
(40.97086, -76.60299)",POINT (-76.605251 40.96781),40.96781,-76.605251,Claude Parnell,No,Operational,Active
Tamaqua Police Department,320 E Broad St,Tamaqua,PA,18252,Schuylkill,570-668-5000,,"320 E Broad St
Tamaqua, PA 18252
(40.79753, -75.96483)",POINT (-75.964784 40.796866),40.796866,-75.964784,,No,,Active
Blossburg Borough Police Department,245 Main Street,Blossburg,PA,16912,Tioga,570-638-3134,"Facility is open M-F, 9am-5pm; other times, call ahead","245 Main Street
Blossburg, PA 16912
(41.68078, -77.06481)",POINT (-77.065023 41.680828),41.680828,-77.065023,Chief Joshua McCurdy,No,,Active
Fleetwood Police Department,110 West Arch Street,Fleetwood,PA,19522,Berks,(610)944-7011,Monday to Friday 8:30am - 5pm,"110 West Arch Street
Fleetwood, PA 19522
(40.45571, -75.82052)",POINT (-75.82062 40.456103),40.456103,-75.82062,Chief Steven J Stinsky,No,Operational,Active
Bedford Borough Police Dept.,244 West Penn Street,Bedford,PA,15522,Bedford,(814)623-8193,M-F 9:00 am – 1:00pm,"244 West Penn Street
Bedford, PA 15522
(40.01727, -78.50698)",POINT (-78.5067571 40.0175703),40.0175703,-78.5067571,,No,Operational,Active
Dauphin County Sheriff's Office,101 Market Street,Harrisburg,PA,17101,Dauphin,(717)780-6590,M-F 8am-4:30pm.,"101 Market Street
Harrisburg, PA 17101
(40.25891, -76.88257)",POINT (-76.8821191 40.2585909),40.2585909,-76.8821191,Sheriff Jack Lotwick,Yes,Operational,Active
Conewago Twp. Police Dept.,541 Oxford Avenue,Hanover,PA,17331,Adams,(717)637-0411,M-F 8-2,"541 Oxford Avenue
Hanover, PA 17331
(39.81979, -77.02364)",POINT (-77.02289 39.819671),39.819671,-77.02289,Det. William T. Hartlaub,Yes,Operational,Active
South Whitehall Twp. Police Dept.,4444 Walbert Avenue,Allentown,PA,18104,Lehigh,(610)398-0337,"M-F 8am-4pm, except holidays.","4444 Walbert Avenue
Allentown, PA 18104
(40.61176, -75.5659)",POINT (-75.5152223 40.6162618),40.6162618,-75.5152223,Chief Thomas Toth,Yes,Operational,Active
Health Services Pharmacy,1201 Grampian Blvd # 1H,Williamsport,PA,17701,Lycoming,(570) 326-8109,,"1201 Grampian Blvd # 1H
Williamsport, PA 17701
(41.26063, -76.98242)",POINT (-76.9829993 41.2607728),41.2607728,-76.9829993,Julie Barner,No,Pharmacy,Active
Knox Borough Police Dept.,620 South Main Street,Knox,PA,16232,Clarion,8147971100,,"620 South Main Street
Knox, PA 16232
(41.23401, -79.5373)",POINT (-79.5388026 41.2284006),41.2284006,-79.5388026,Chief Jason Bowen,Yes,Operational,Active
CVS #1596,140 EAST CHESTNUT STREET,MIFFLINBURG,PA,17844,"UNION,PA",5709663332,Follows Pharmacy Hours of Operation,"140 EAST CHESTNUT STREET
MIFFLINBURG, PA 17844
(40.92272, -77.03453)",POINT (-77.03427 40.922819),40.922819,-77.03427,,No,Pharmacy,Active
Borough of Jefferson Hills Police Dept.,925 Old Clairton Road,Jefferson Hills,PA,15025,Allegheny,(412)655-2222,,"925 Old Clairton Road
Jefferson Hills, PA 15025
(40.29744, -79.92969)",POINT (-79.929888 40.297525),40.297525,-79.929888,Chief Gene Roach,Yes,,Active
Center Township Police Dept.,224 Center Grange Road,Aliquippa,PA,15001,Beaver,(724)774-0271,,"224 Center Grange Road
Aliquippa, PA 15001
(40.64828, -80.29996)",POINT (-80.299595 40.648433),40.648433,-80.299595,Chief Barry Kramer,Yes,,Active
Shippensburg University (Dept. of Public Safety),153 Allegheny Drive,Shippensburg,PA,17257,Cumberland,(717)477-1444,24 hrs,"153 Allegheny Drive
Shippensburg, PA 17257
(40.05839, -77.52385)",POINT (-77.5220512 40.0577815),40.0577815,-77.5220512,Chief Cytha Grissom,Yes,Operational,Active
Lawrence County District Attorney's Office,430 Court St,New Castle,PA,16101,Lawrence,(724)656-1916,M-F between the hours of 8 a.m. and 4 p.m.,"430 Court St
New Castle, PA 16101
(40.99893, -80.33872)",POINT (-80.3392794 40.9991283),40.9991283,-80.3392794,Joshua Lamancusa,No,Operational,Active
Cumberland County Human Svcs. Building,16 West High Street,Carlisle,PA,17013,Cumberland,(717)240-6392,"M-F, 8am-4:30pm","16 West High Street
Carlisle, PA 17013
(40.20159, -77.19042)",POINT (-77.1904034 40.2014422),40.2014422,-77.1904034,Sheriff Ronny R. Anderson,Yes,Operational,Active
City of Latrobe Police Dept.,901 Jefferson Street,Latrobe,PA,15650,Westmoreland,(724)537-5526,M-F 8-4,"901 Jefferson Street
Latrobe, PA 15650
(40.31519, -79.38544)",POINT (-79.385729 40.315102),40.315102,-79.385729,Det. John Sleasman,Yes,Operational,Active
State Police-Troop R / Gibson,2856 SR 848,New Milford,PA,18834,Susquehanna,,,"2856 SR 848
New Milford, PA 18834
(41.82995, -75.68796)",POINT (-75.688077 41.830405),41.830405,-75.688077,,No,,Active
Littlestown Borough Police Department,10 South Queen Street,Littlestown,PA,17340,Adams,717-359-4511,7:00 am – 3:30 pm Monday thru Friday,"10 South Queen Street
Littlestown, PA 17340
(39.74458, -77.08809)",POINT (-77.087799 39.744577),39.744577,-77.087799,,Yes,Operational,Active
Upper Providence Township Police Department,935 N. Providence Road,Media,PA,19063,Delaware,,Please contact location,"935 N. Providence Road
Media, PA 19063
(39.93056, -75.38699)",POINT (-75.3869859 39.930623),39.930623,-75.3869859,,No,Operational,Active
Upper Macungie Twp. Police Dept.,37 Grim Road,Breinigsville,PA,18031,Lehigh,(484)661-5911,"M-F 8am-4pm, except holidays.","37 Grim Road
Breinigsville, PA 18031
(40.56491, -75.62944)",POINT (-75.629641 40.564877),40.564877,-75.629641,Chief Edgardo Colon,Yes,Operational,Active
Beaver Borough Police Dept.,469 Third Street,Beaver,PA,15009,Beaver,(724)773-6700,,"469 Third Street
Beaver, PA 15009
(40.69608, -80.30279)",POINT (-80.302609 40.69583),40.69583,-80.302609,Chief Daniel Madgar,Yes,,Active
Allentown Police Dept. Substation,1005 W. Hamilton Street,Allentown,PA,18101,Lehigh,(610)437-7753,24/7,"1005 W. Hamilton Street
Allentown, PA 18101
(40.60049, -75.47813)",POINT (-75.4781984 40.6005743),40.6005743,-75.4781984,Chief Joseph Hanna,Yes,Operational,Active
Brockway Police Department,501 Main Street,Brockway,PA,15824,Jefferson,814-265-2055,,"501 Main Street
Brockway, PA 15824
(41.24896, -78.79806)",POINT (-78.798666 41.248726),41.248726,-78.798666,,Yes,Operational,Active
Perryopolis Police Dept.,721 Cemetery Road,Perryopolis,PA,15473,Fayette,(724)736-0700,,"721 Cemetery Road
Perryopolis, PA 15473
(40.08145, -79.74925)",POINT (-79.749721 40.081657),40.081657,-79.749721,Chief Roger L. Beadling,Yes,,Active
Elizabeth Township Police Dept.,522 Rock Run Road,Elizabeth,PA,15037,Allegheny,(412)751-7325,,"522 Rock Run Road
Elizabeth, PA 15037
(40.27175, -79.82285)",POINT (-79.823336 40.271197),40.271197,-79.823336,Chief David Kerestes,Yes,,Active
Centre County Sheriff's Office,213 East High Street,Bellefonte,PA,16823,Centre,(814)355-6803,,"213 East High Street
Bellefonte, PA 16823
(40.91266, -77.77599)",POINT (-77.776316 40.91261),40.91261,-77.776316,Sheriff Bryan Sampsel,Yes,,Active
Borough of Oxford Police Dept.,57 North Fourth Street,Oxford,PA,19363,Chester,(610)998-0032,M-F 8am-4:30pm.,"57 North Fourth Street
Oxford, PA 19363
(39.78699, -75.97698)",POINT (-75.977305 39.7861884),39.7861884,-75.977305,Chief John F. Slauch,Yes,Operational,Active
Jefferson Bucks Hospital Main Lobby,380 North Oxford Valley Road,Langhorne,PA,19047,Bucks,,,"380 North Oxford Valley Road
Langhorne, PA 19047
(40.18348, -74.86737)",POINT (-74.8668025 40.1830762),40.1830762,-74.8668025,,No,active,Active
"CVS PHARMACY, L.L.C. # 00675 (GLENOLDEN)",159 N. MACDADE BLVD.,GLENOLDEN,PA,19036,Delaware,,,"159 N. MACDADE BLVD.
GLENOLDEN, PA 19036
(39.90727, -75.28686)",POINT (-75.286778 39.907003),39.907003,-75.286778,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 01917 (PAXTON SQUARE/HARRISBURG)",6007 ALLENTOWN BLVD.,HARRISBURG,PA,17112,Dauphin,,,"6007 ALLENTOWN BLVD.
HARRISBURG, PA 17112
(40.32071, -76.78747)",POINT (-76.786811 40.320605),40.320605,-76.786811,,No,Pharmacy,Active
Lower Saucon Township Police Dept.,3700 Old Philadelphia Pike,Bethlehem,PA,18015,Northampton,(610)317-6110,,"3700 Old Philadelphia Pike
Bethlehem, PA 18015
(40.58638, -75.38862)",POINT (-75.389516 40.58602),40.58602,-75.389516,Chief Guy Lesser,Yes,Operational,Active
Newtown Borough Police,209 Bishop Hollow Rd,Newtown Square,PA,19073,Delaware,2158607835,,"209 Bishop Hollow Rd
Newtown Square, PA 19073
(39.98125, -75.40785)",POINT (-75.407832 39.980665),39.980665,-75.407832,,No,,Active
CVS #305,1833 EAST HIGH STREET,POTTSTOWN,PA,19464,"MONTGOMERY,PA",6103272020,Follows Pharmacy Hours of Operation,"1833 EAST HIGH STREET
POTTSTOWN, PA 19464
(40.24447, -75.60905)",POINT (-75.60876 40.24447),40.24447,-75.60876,,No,Pharmacy,Active
State College Police Dept.,243 South Allen Street,State College,PA,16801,Centre,(814)234-7150,,"243 South Allen Street
State College, PA 16801
(40.79258, -77.85896)",POINT (-77.85879 40.7928),40.7928,-77.85879,Mr. Richard Ososkie,Yes,,Active
Montour County Court House,29 Mill Street,Danville,PA,17821,Montour,570-271-3020,Mon-Fri. 8:00 - 4:00,"29 Mill Street
Danville, PA 17821
(40.96009, -76.61899)",POINT (-76.619249 40.95972),40.95972,-76.619249,Clair Health,No,Operational,Active
Townville Pharmacy and Ben Franklin Store,2195 Rt 442 HWY,Muncy,PA,17756,Lycoming,570-546-8272,,"2195 Rt 442 HWY
Muncy, PA 17756
(41.19885, -76.72379)",POINT (-76.72527 41.198344),41.198344,-76.72527,"GARY M PECK, RPH",No,,Active
East Bethlehem Police Dept.,36 Water Street,Fredericktown,PA,15333,Washington,(724)377-1851,,"36 Water Street
Fredericktown, PA 15333
(39.9997, -79.99679)",POINT (-79.9967387 39.9996629),39.9996629,-79.9967387,Chief Mark Pompe,Yes,Operational,Active
Jim Thorpe Police Dept.,101 East Tenth Street,Jim Thorpe,PA,18229,Carbon,(570)325-4995,Monday thru Friday from 8:30am until 4:00pm,"101 East Tenth Street
Jim Thorpe, PA 18229
(40.87884, -75.72679)",POINT (-75.7250897 40.8773524),40.8773524,-75.7250897,Chief Joseph Schatz,No,Operational,Active
Weis Markets - Huntingdon,611 15th Street,Huntingdon,PA,16652,Huntingdon,(814)643-3960,Store hours are 7 days a week from 6am to 11pm.,"611 15th Street
Huntingdon, PA 16652
(40.49659, -78.01416)",POINT (-78.014277 40.497118),40.497118,-78.014277,"Chief, Huntingdon Borough Police Department",No,,Active
State Police-Troop D / Kittanning,130 Parkview Dr. Extension,Kittanning,PA,16201,Armstrong,,,"130 Parkview Dr. Extension
Kittanning, PA 16201
(40.81918, -79.55701)",POINT (-79.558218 40.820777),40.820777,-79.558218,,No,,Active
Hatfield Township Police Department,2000 School Road,Hatfield,PA,19440,Montgomery,(215)855-0903,M-F 8-12/ 1-4,"2000 School Road
Hatfield, PA 19440
(40.28454, -75.28695)",POINT (-75.2863939 40.2852279),40.2852279,-75.2863939,Chief Mark Toomey,No,Operational,Active
Pen Argyl Police Department,11 North Robinson Avenue,Pen Argyl,PA,18072,Northampton,610-759-8517,8:00 a.m. - 4:00 p.m.,"11 North Robinson Avenue
Pen Argyl, PA 18072
(40.86909, -75.25521)",POINT (-75.25562 40.868945),40.868945,-75.25562,Pat Stonaker,No,Operational,Active
Oil City Police Dept.,21 Seneca Street,Oil City,PA,16301,Venango,(814)678-3080,"24 hours, 7 days a week","21 Seneca Street
Oil City, PA 16301
(41.433, -79.70823)",POINT (-79.707911 41.433051),41.433051,-79.707911,Chief Robert Wenner,Yes,Operational,Active
Bushkill Township Police Dept.,1114 Bushkill Center Road,Nazareth,PA,18064,Northampton,(610)759-9589,,"1114 Bushkill Center Road
Nazareth, PA 18064
(40.79888, -75.33237)",POINT (-75.332382 40.799046),40.799046,-75.332382,Chief Michael McClouth,Yes,Operationall,Active
State Police-Troop L / Jonestown,3185 SR 72,Jonestown,PA,17038-8101,Lebanon,,,"3185 SR 72
Jonestown, PA 17038-8101
(40.46077, -76.51267)",POINT (-76.51337 40.460904),40.460904,-76.51337,,No,,Active
CVS #4029,1181 FREEDOM RD.,CRANBERRY TOWNSHIP,PA,16066,"BUTLER,PA",7247421888,Follows Pharmacy Hours of Operation,"1181 FREEDOM RD.
CRANBERRY TOWNSHIP, PA 16066
(40.68263, -80.12478)",POINT (-80.124452 40.682647),40.682647,-80.124452,,No,Pharmacy,Active
Walgreens Pharmacy (Altoona Location),508 E PLANK RD,Altoona,PA,16602,Blair,814–944–3236,,"508 E PLANK RD
Altoona, PA 16602
(40.47989, -78.40329)",POINT (-78.403658 40.479519),40.479519,-78.403658,,No,,Active
Eddystone Police,1300 E. 12th St.,Eddystone,PA,19022,Delaware,,,"1300 E. 12th St.
Eddystone, PA 19022
(39.86259, -75.34451)",POINT (-75.344622 39.862887),39.862887,-75.344622,,No,,Active
Clifton Heights Borough Police Department,30 S. Springfield Road,Clifton Heights,PA,19018,Delaware,,Please contact location,"30 S. Springfield Road
Clifton Heights, PA 19018
(39.92843, -75.2961)",POINT (-75.2963353 39.9284929),39.9284929,-75.2963353,,No,Operational,Active
Fairview Township Police Department,"145 Limekiln Road, Suite 600",New Cumberland,PA,17070,York,(717)901-5267,Open Monday through Friday from 8AM to 4:30PM.,"145 Limekiln Road, Suite 600
New Cumberland, PA 17070
(40.215, -76.87572)",POINT (-76.874321 40.214518),40.214518,-76.874321,,No,Operational,Active
Sayre Police Dept.,234 South Lehigh Avenue,Sayre,PA,18840,Bradford,5708882437,,"234 South Lehigh Avenue
Sayre, PA 18840
(41.97944, -76.5145)",POINT (-76.5144423 41.9799385),41.9799385,-76.5144423,Chief Daniel J. Reynolds,Yes,Operational,Active
The Medicine Shoppe (Hermitage),1740 E. State Street,Hermitage,PA,16148,Mercer,724-983-8451,,"1740 E. State Street
Hermitage, PA 16148
(41.2329, -80.47753)",POINT (-80.477342 41.233256),41.233256,-80.477342,,No,Pharmacy,Active
McAdoo Police Dept.,23 North Hancock Street,McAdoo,PA,18237,Schuylkill,5709292590,,"23 North Hancock Street
McAdoo, PA 18237
(40.90312, -75.9948)",POINT (-75.9949203 40.9026765),40.9026765,-75.9949203,Chief Jeffrey Wainwright,Yes,Operational,Active
Galeton Borough Police Dept.,4 Sherman Street,Galeton,PA,16922,Potter,(814)435-2600,,"4 Sherman Street
Galeton, PA 16922
(41.73225, -77.64116)",POINT (-77.640771 41.73231),41.73231,-77.640771,Chief Christopher Brackman,Yes,,Active
Lower Salford Township Police Dept.,379 Main Street,Harleysville,PA,19438,Montgomery,(610)256-9500,,"379 Main Street
Harleysville, PA 19438
(40.27641, -75.38022)",POINT (-75.380148 40.275436),40.275436,-75.380148,Sgt. Cory Moyer,Yes,Operational,Active
Weis Markets - Jersey Shore,1440 Allegheny St.,Jersey Shore,PA,17740,Lycoming,570-398-7757,M-F 8am-8pm / Sat. 8am-6pm / Sun. 9am-5pm,"1440 Allegheny St.
Jersey Shore, PA 17740
(41.20121, -77.27632)",POINT (-77.276523 41.201629),41.201629,-77.276523,Geisinger,No,,Active
Lehigh Valley Health Network (c/o Lehigh County Drug Task Force),1627 West Chew Street,Allentown,PA,18017,Lehigh,(484)884-8225,,"1627 West Chew Street
Allentown, PA 18017
(40.60174, -75.49367)",POINT (-75.493173 40.601082),40.601082,-75.493173,Craig Finnerty,Yes,Operational,Active
Bethlehem Township Police Department (Municipal Building - Lobby Area),4225 Easton Avenue,Bethlehem,PA,18020,Northampton,610-814-6465,"Hours are M-F, 8 a.m to 4:30 p.m.","4225 Easton Avenue
Bethlehem, PA 18020
(40.66585, -75.31408)",POINT (-75.31416 40.666192),40.666192,-75.31416,Captain Gregory Gottschall,No,,Active
Crozer-Chester Medical Center,1 Medical Center Blvd,Upland,PA,19013,Delaware,,,"1 Medical Center Blvd
Upland, PA 19013
(39.85612, -75.36865)",POINT (-75.368191 39.855763),39.855763,-75.368191,,No,,Active
Weis Markets - Muncy,1272 East Penn St.,Muncy,PA,17756,Lycoming,570-546-7228,,"1272 East Penn St.
Muncy, PA 17756
(41.21093, -76.76081)",POINT (-76.759842 41.209551),41.209551,-76.759842,Geisinger,No,,Active
Delmont Police Dept.,77 Greensburg Street,Delmont,PA,15626,Westmoreland,(724)468-8501,24 hours/7days a week.,"77 Greensburg Street
Delmont, PA 15626
(40.41052, -79.5721)",POINT (-79.571722 40.410407),40.410407,-79.571722,Chief Timothy Klobucar,Yes,Operational,Active
City of Williamsport Police Dept.,245 West 4th Street,Williamsport,PA,17701,Lycoming,(570)327-7548,M-F 8-4,"245 West 4th Street
Williamsport, PA 17701
(41.24024, -77.00619)",POINT (-77.005596 41.240358),41.240358,-77.005596,Lt. Brett Williams,Yes,Operational,Active
Berks County Coroner's Office,"1047 MacArthur Road, Suite 200",Reading,PA,19605,Berks,(610)478-3280,7 days a week 8 am – 5 pm,"1047 MacArthur Road, Suite 200
Reading, PA 19605
(40.37917, -75.97543)",POINT (-75.9749972 40.3781919),40.3781919,-75.9749972,Dennis J. Hess -  Coroner,No,Operational,Active
Borough of Dupont Police Dept.,600 Chestnut Street,Dupoint,PA,18641,Luzerne,(570)655-6216,,"600 Chestnut Street
Dupoint, PA 18641
(41.32118, -75.74759)",POINT (-75.748196 41.320972),41.320972,-75.748196,Chief Daniel Mimnaugh,Yes,,Active
Warwick Township Police,1733 Township Greene,Jamison,PA,18929,Bucks,(215)343-6102 ext. 411,M-F 8-4,"1733 Township Greene
Jamison, PA 18929
(40.24794, -75.09602)",POINT (-75.0890348 40.2548974),40.2548974,-75.0890348,,No,Operational,Active
Leet Township Police Dept.,198 Ambridge Avenue,Ambridge,PA,15003,Allegheny,(724)266-6141,,"198 Ambridge Avenue
Ambridge, PA 15003
(40.58303, -80.20964)",POINT (-80.209627 40.583512),40.583512,-80.209627,"Chief William Wanto, Jr.",Yes,,Active
West Hills Regional Police Department,1000 Luzerne Street,Johnstown,PA,15905,Cambria,,,"1000 Luzerne Street
Johnstown, PA 15905
(40.31633, -78.94145)",POINT (-78.941685 40.316543),40.316543,-78.941685,,No,,Active
CVS #1610,201 MUNCY CREEK BLVD.,MUNCY,PA,17756,"LYCOMING,PA",5705468361,Follows Pharmacy Hours of Operation,"201 MUNCY CREEK BLVD.
MUNCY, PA 17756
(41.21125, -76.76136)",POINT (-76.760855 41.211505),41.211505,-76.760855,,No,Pharmacy,Active
CVS #1323,212 POTTSVILLE ST.,POTTSVILLE,PA,17901,"SCHUYLKILL,PA",5703854201,Follows Pharmacy Hours of Operation,"212 POTTSVILLE ST.
POTTSVILLE, PA 17901
(40.63633, -76.18288)",POINT (-76.182772 40.637271),40.637271,-76.182772,,No,Pharmacy,Active
Avonmore Borough Police Dept.,619 Allegheny Avenue,Avonmore,PA,15618,Westmoreland,(724)697-4747,M-F 8:00 a.m.-4:00 p.m.,"619 Allegheny Avenue
Avonmore, PA 15618
(40.52851, -79.46198)",POINT (-79.462086 40.528756),40.528756,-79.462086,Chief James L. Shaffer,Yes,Operational,Active
Lower Allen Township Police Dept.,2233 Gettysburg Road,Camp Hill,PA,17011,Cumberland,(717)975-7575,"M–F, 8am–4pm","2233 Gettysburg Road
Camp Hill, PA 17011
(40.22979, -76.91874)",POINT (-76.9184632 40.229801),40.229801,-76.9184632,Chief Frank Williamson,Yes,Operational,Active
Upper Uwchlan Twp Administrative offices,140 Pottstown Pike,Chester Springs,PA,19425,Chester,6104589400,,"140 Pottstown Pike
Chester Springs, PA 19425
(40.07927, -75.68874)",POINT (-75.69228 40.088497),40.088497,-75.69228,,No,Operational,Active
West York Borough Police Department,1381 W. Poplar Street,York,PA,17404,York,(717)854-1975,"Open Monday through Friday, 9AM to 4:30PM","1381 W. Poplar Street
York, PA 17404
(39.951, -76.757)",POINT (-76.757274 39.951179),39.951179,-76.757274,,No,Operational,Active
East Brandywine Twp. Police Dept.,1212 Horseshoe Pike,Downingtown,PA,19335,Chester,(610)269-4300,M-F 9-5,"1212 Horseshoe Pike
Downingtown, PA 19335
(40.03473, -75.76668)",POINT (-75.7665957 40.0346441),40.0346441,-75.7665957,Chief Mark D. Kocsi,Yes,Operational,Active
West Vincent Township Police Dept.,729 St. Matthews Road,Chester Springs,PA,19425,Chester,(610)458-3205,M-F 8:30 - 4:30,"729 St. Matthews Road
Chester Springs, PA 19425
(40.10728, -75.66725)",POINT (-75.668094 40.106865),40.106865,-75.668094,Chief Michael Swininger,Yes,Operational,Active
Indiana University of PA Police Department,850 Maple Street University Towers,Indiana,PA,15705,Indiana,(724)357-2546,24 hours/7 days a week,"850 Maple Street University Towers
Indiana, PA 15705
(40.6145, -79.15747)",POINT (-79.1583807 40.6175761),40.6175761,-79.1583807,Andrea V. Campbell - Emergency Operations Assistant,No,Operational,Active
Richland Twp. Police Dept.,"322 Schoolhouse Rd, Suite 110",Johnstown,PA,15904-2924,Cambria,(814)266-8333,M-F 8am-4pm; call for weekend hours.,"322 Schoolhouse Rd, Suite 110
Johnstown, PA 15904-2924
(40.26887, -78.83992)",POINT (-78.8403328 40.269067),40.269067,-78.8403328,Chief Mike Burgan,Yes,Operational,Active
Stroud Area Regional Police,100 Day Street,East Stroudsburg,PA,18301,Monroe,,Unknown,"100 Day Street
East Stroudsburg, PA 18301
(40.9994, -75.1869)",POINT (-75.186779 40.999272),40.999272,-75.186779,,No,Operational,Active
Pequea Township Municipal Office,"1028 Millwood Road, Willow St, PA 17584",Lancaster,PA,17584,Lancaster,717-464-2322,,"1028 Millwood Road, Willow St, PA 17584
Lancaster, PA 17584
(39.96273, -76.28952)",POINT (-76.2888069 39.9626845),39.9626845,-76.2888069,,No,,Active
Folcroft Borough Police,1555 E. Elmwood Ave.,Folcroft,PA,19032,Delaware,,,"1555 E. Elmwood Ave.
Folcroft, PA 19032
(39.8996, -75.27925)",POINT (-75.27906 39.899629),39.899629,-75.27906,,No,,Active
CVS #3799,929 DEKALB PIKE,BLUE BELL,PA,19422,"MONTGOMERY,PA",6102922142,Follows Pharmacy Hours of Operation,"929 DEKALB PIKE
BLUE BELL, PA 19422
(40.16621, -75.29193)",POINT (-75.292154 40.166395),40.166395,-75.292154,,No,Pharmacy,Active
Giant Eagle Pharmacy #0039,331 Washington Road,Washington,PA,15301,Washington,(724) 228-2865,Pharmacy Hours,"331 Washington Road
Washington, PA 15301
(40.18673, -80.22853)",POINT (-80.22882 40.186391),40.186391,-80.22882,,No,Pharmacy,Active
CareSite Pharmacy Pottsville,529 Terry Reiley Way,Pottsville,PA,17901,Schuylkill,570-624-4120,Monday - Friday: 9 a.m. - 5:30 p.m.,"529 Terry Reiley Way
Pottsville, PA 17901
(40.69054, -76.19671)",POINT (-76.196984 40.690462),40.690462,-76.196984,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 01282 (ARDMORE)",317 W. LANCASTER AVE.,ARDMORE,PA,19003,Montgomery,,,"317 W. LANCASTER AVE.
ARDMORE, PA 19003
(40.01067, -75.29655)",POINT (-75.296802 40.01111),40.01111,-75.296802,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 01611 (SCRANTON)",1101 MOOSIC ST.,SCRANTON,PA,18505,Lackawanna,,,"1101 MOOSIC ST.
SCRANTON, PA 18505
(41.39683, -75.64904)",POINT (-75.648902 41.396958),41.396958,-75.648902,,No,Pharmacy,Active
Aldan Police,"1 W. Providence Rd.,","Aldan,",PA,19018,Delaware,,,"1 W. Providence Rd.,
Aldan,, PA 19018
(39.92231, -75.28701)",POINT (-75.287633 39.922332),39.922332,-75.287633,,No,,Active
